Date	Product Name	Category	Units Sold	Price	Revenue	Discount	Units Returned	Location	Platform
06/01/2020	Whey Protein	Protein	143	31.98	4573.14	0.03	2	Canada	Walmart
06/01/2020	Vitamin C	Vitamin	139	42.51	5908.89	0.04	0	UK	Amazon
06/01/2020	Fish Oil	Omega	161	12.91	2078.51	0.25	0	Canada	Amazon
06/01/2020	Multivitamin	Vitamin	140	16.07	2249.8	0.08	0	Canada	Walmart
06/01/2020	Pre-Workout	Performance	157	35.47	5568.79	0.25	3	Canada	iHerb
06/01/2020	BCAA	Amino Acid	154	41.19	6343.26	0.13	1	UK	Walmart
06/01/2020	Creatine	Performance	134	32.49	4353.66	0.05	1	UK	Walmart
06/01/2020	Zinc	Mineral	147	46.68	6861.96	0.19	0	Canada	Amazon
06/01/2020	Collagen Peptides	Protein	147	10.96	1611.12	0.06	2	USA	Amazon
06/01/2020	Magnesium	Mineral	134	20.76	2781.84	0.0	0	Canada	Amazon
06/01/2020	Ashwagandha	Herbal	181	15.49	2803.69	0.14	1	USA	Amazon
06/01/2020	Melatonin	Sleep Aid	164	34.41	5643.24	0.04	1	USA	Walmart
06/01/2020	Biotin	Vitamin	159	28.79	4577.61	0.1	1	UK	iHerb
06/01/2020	Green Tea Extract	Fat Burner	143	31.88	4558.84	0.06	3	UK	Walmart
06/01/2020	Iron Supplement	Mineral	149	42.97	6402.53	0.22	2	Canada	iHerb
06/01/2020	Electrolyte Powder	Hydration	154	35.92	5531.68	0.04	2	USA	Amazon
13/01/2020	Whey Protein	Protein	150	12.08	1812.0	0.02	2	UK	Amazon
13/01/2020	Vitamin C	Vitamin	128	10.61	1358.08	0.24	2	USA	Amazon
13/01/2020	Fish Oil	Omega	145	27.49	3986.05	0.19	2	USA	Walmart
13/01/2020	Multivitamin	Vitamin	137	14.92	2044.04	0.17	2	USA	Amazon
13/01/2020	Pre-Workout	Performance	141	14.11	1989.51	0.24	1	Canada	iHerb
13/01/2020	BCAA	Amino Acid	160	29.1	4656.0	0.05	0	Canada	Amazon
13/01/2020	Creatine	Performance	154	42.2	6498.8	0.13	0	UK	Walmart
13/01/2020	Zinc	Mineral	154	47.4	7299.6	0.2	2	USA	Amazon
